aid,name,website,createdOn,parent_org,segment,account_manager,cs_client_id,int_type
SrmTGdXwNo,The Daily Beast,http://www.thedailybeast.com,2014-04-14,The Daily Beast,Elite,Dana Venino,90139564,1
1vPeaoZFAY,Esquire Classic,esquire.com,2014-09-03,"Hearst Technology, Inc.",Premier,Dana Venino,68331595,1
o19WonOrHQ,CNBC,cnbc.com,2014-09-18,CNBC,Elite,Dana Venino,68331575,1
bhGmWgV9QE,Greentech Media,greentechmedia.com,2015-05-05,"GreenTech Media, Inc.",Select,Greg Howard,68331591,1
GnVyObE5Pf,Crikey,crikey.com.au,2015-07-13,Private Media Operations Pty Ltd,Select,Tim Rowell,68331609,1
dRdGTybhWh,Science Magazine,sciencemag.org,2015-07-21,American Association for the Advancement of Science,Select,Tomas Vasko,68331572,1
g2boT3JL8Y,America tvGO,tvgo.com,2015-08-14,America TV,Select,Tomas Vasko,68331569,1
kVw77VOIDd,El Espectador,elespectador.com,2015-10-01,Comunican S.A.,Select,Tomas Vasko,68331576,1
6dQcrgMVS0,Times Publishing Co.,tampabay.com,2015-12-07,The Times Publishing Company,Premier,Dana Venino,68331626,1
B6sIXKLiin,Business Insider,read.bi/prime,2015-12-17,"Business Insider, Inc.",Select,Dana Venino,68331578,1
4bp4mEttTF,Newnan Times Herald,times-herald.com,2016-01-19,Newnan Times-Herald,Select,Greg Howard,68331607,1
bYdYZQml5V,GlobalSecurity.org,globalsecurity.org,2016-03-07,GlobalSecurity,Select,Greg Howard,68331586,1
CgenXrprgH,The Economist,economist.com,2016-03-08,The Economist Newspaper Limited,Elite,Tim Rowell,68331622,1
Nmww1v3ps0,The Dallas Morning News,dallasnews.com,2016-04-01,"The Dallas Morning News, Inc.",Elite,Dana Venino,68331623,1
wIi3W16Pfq,La Opinion,laopinion.es,2016-06-28,"Prensa Iberica Digital, S.L.",Select,Tomas Vasko,68331611,1
LiB66Tw2pe,Globe and Mail – ARC,theglobeandmail.com,2016-07-13,"The Globe & Mail, Inc.",Premier,Dana Venino,68331624,1
stjD5tw8Tv,Diversity Best Practices,diversitybestpractices.com,2016-08-19,Bonnier Corp.,Select,Dana Venino,68331574,1
I3uW1TUbaT,LearnWake,learnwake.com,2016-08-29,Bonnier Corp.,Select,Dana Venino,68331574,1
5qCwJzizL2,CrestonNews.com,crestonnews.com,2016-09-23,"Shaw Suburban Media Group, Inc.",Premier,Tomas Vasko,68331615,1
auRyMIR0sY,Daily-Chronicle.com,daily-chronicle.com,2016-09-23,"Shaw Suburban Media Group, Inc.",Premier,Tomas Vasko,68331615,1
7wt2qUDI6D,NewtonDailyNews.com,newtondailynews.com,2016-09-23,"Shaw Suburban Media Group, Inc.",Premier,Tomas Vasko,68331615,1
ESb9Hv2cln,MorrisHerald-News.com,morrisherald-news.com,2016-09-23,"Shaw Suburban Media Group, Inc.",Premier,Tomas Vasko,68331615,1
jUz43xd5OB,SaukValley.com,saukvalley.com,2016-09-23,"Shaw Suburban Media Group, Inc.",Premier,Tomas Vasko,68331615,1
PgTr0GAP50,TheHerald-News.com,theherald-news.com,2016-09-23,"Shaw Suburban Media Group, Inc.",Premier,Tomas Vasko,68331615,1
HP2wbBsiUk,NWHerald.com,nwherald.com,2016-09-23,"Shaw Suburban Media Group, Inc.",Premier,Tomas Vasko,68331615,1
ix8dbu4yUX,KCChronicle.com,kcchronicle.com,2016-09-23,"Shaw Suburban Media Group, Inc.",Premier,Tomas Vasko,68331615,1
qrPu7RttTE,FUNKE MEDIEN NRW,funkemedien.de,2016-09-26,Funke Digital GmbH,Elite,Tim Rowell,68331585,1
Je5wPuCjpI,NBC Sports Gold,nbcsportsgold.com,2016-09-28,"NBCUniversal Media, LLC",Elite,Dana Venino,68331602,1
xvOdxWLORG,The Ames Tribune,www.amestrib.com,2016-10-06,Gatehouse,Elite,Dana Venino,68331587,1
UTYB48hQ47,Bastrop Enterprise,www.bastropenterprise.com,2016-10-06,Gatehouse,Elite,Dana Venino,68331587,1
2YTwbbhc3E,Gaston Gazette,www.gastongazette.com,2016-10-06,Gatehouse,Elite,Dana Venino,68331587,1
FX5ZKBJbdJ,Peoria Journal Star,www.pjstar.com,2016-10-06,Gatehouse,Elite,Dana Venino,68331587,1
8H6C7Vf5wd,The Providence Journal,www.providencejournal.com,2016-10-06,Gatehouse,Elite,Dana Venino,68331587,1
RV43F7VQwt,Sarasota Herald-Tribune,www.heraldtribune.com,2016-10-06,Gatehouse,Elite,Dana Venino,68331587,1
9V33tWRvZX,Telegram & Gazette,www.telegram.com,2016-10-06,Gatehouse,Elite,Dana Venino,68331587,1
AJqYpQXxpe,State Journal-Register,www.sj-r.com,2016-10-06,Gatehouse,Elite,Dana Venino,68331587,1
g8UYRWDmxx,Boonville Daily News,www.boonvilledailynews.com,2016-10-06,Gatehouse,Elite,Dana Venino,68331587,1
EnjYeuBxck,Canton Daily Ledger,www.cantondailyledger.com,2016-10-06,Gatehouse,Elite,Dana Venino,68331587,1
